"","p_logistic","ID","TARGDOL"
"1",0.286967070503089,46843,0
"2",0.318550805759703,51897,0
"3",0.313253495525792,47147,5
"4",0.310636698576618,54521,0
"5",0.345465937614122,51967,0
"6",0.337248439049003,50691,0
"7",0.355144294152874,61810,0
"8",0.378839106610583,61721,10
"9",0.338518921040285,51960,0
"10",0.307491413475211,46034,0
"11",0.328287441538254,61694,0
"12",0.223752178384103,53819,0
"13",0.293147255543421,48871,0
"14",0.357271704334672,58650,0
"15",0.194843779118877,24530,10
"16",0.326870390803752,48777,0
"17",0.372959650230708,60617,0
"18",0.324314200801825,53816,0
"19",0.326870390803752,48837,0
"20",0.328287441538254,58611,0
"21",0.392735113297298,51686,0
"22",0.387644394542921,50425,0
"23",0.343194904820619,56904,0
"24",0.306499804767672,45570,0
"25",0.263137109575485,53950,0
"26",0.358976211348356,56522,5
"27",0.296140248275639,45277,0
"28",0.287317626681977,53020,0
"29",0.627947711082409,45164,5
"30",0.384983945811002,63385,10
"31",0.792184250041136,47081,0
"32",0.427162394772692,62071,0
"33",0.318997254181553,47500,0
"34",0.672424323413616,50818,2
"35",0.343565520320523,56859,0
"36",0.253653195905258,53971,0
"37",0.351445341832623,62943,0
"38",0.617256746810428,49400,0
"39",0.645020128346009,44539,0
"40",0.296938932824525,52722,5
"41",0.308525587764677,52036,0
"42",0.876340860239451,52308,5
"43",0.256535532014996,51578,0
"44",0.405343991545123,60772,0
"45",0.326611755088007,52504,0
"46",0.372959650230708,58583,0
"47",0.299277116522091,50395,5
"48",0.0737295305830241,7517,0
"49",0.145642265860515,7713,0
"50",0.129021295685904,5973,0
"51",0.942004835158434,4547,0
"52",0.332490240515444,8953,0
"53",0.68360073998062,7650,5
"54",0.294073821886672,10964,0
"55",0.55816849550875,7281,20
"56",0.0885867104968905,12372,0
"57",0.571979575385228,13191,10
"58",0.756009303152617,12824,0
"59",0.125599986047346,12891,10
"60",0.299662569928925,12239,0
"61",0.463416410952389,13018,0
"62",0.292465527501112,15124,10
"63",0.427418919859037,15757,5
"64",0.0877445468501854,11555,0
"65",0.236991747163909,12407,0
"66",0.410866752669701,14335,0
"67",0.403268935331805,16218,0
"68",0.264948525886498,16046,0
"69",0.385171374457566,17397,0
"70",0.288801138523505,15428,0
"71",0.279592489986085,15727,10
"72",0.597012473143914,15644,10
"73",0.288801138523505,15561,0
"74",0.247413095698734,15880,10
"75",0.14311618739568,10510,0
"76",0.0566117584726779,10823,0
"77",0.160876763365436,9569,0
"78",0.344590929210511,12219,0
"79",0.21355215378923,20890,0
"80",0.851046481555814,19418,0
"81",0.174588276763362,23146,0
"82",0.270016086729577,23242,0
"83",0.220695467549867,23317,0
"84",0.397445389234661,18377,0
"85",0.324207545567187,16875,0
"86",0.411164698878466,17651,0
"87",0.170962488660026,10234,0
"88",0.349697119029846,17621,2
"89",0.354697434926956,16313,0
"90",0.195708587631088,14094,10
"91",0.185105004387778,16402,0
"92",0.487806603560168,9278,5
"93",0.470587081660835,12700,5
"94",0.92081945514341,10770,5
"95",0.12294785781234,10967,0
